Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
1.0908,0.30284,5.0596,2.1013,1.105,1.3981,7.0307,0.88625,0.625,0.22316,0.20909,0.38217,0.8775,0.0082492,0.0094285
1.0686,0.26455,5.9379,2.1035,1.0811,1.404,7.0103,0.7799,0.125,0.42154,0.3815,0.52123,0.36056,0.0095166,0.0062684
1.0595,0.26179,6.5199,2.443,1.0749,1.4128,6.7477,0.68621,0.75,0.20409,0.36105,0.40116,0.67082,0.0089466,0.0071677
1.1187,0.33081,4.4911,2.1683,1.1342,1.319,7.0772,1.091,0.5,0.096296,0.18921,0.37549,0.67082,0.010004,0.012019
1.0787,0.19651,7.0267,1.6448,1.084,1.5517,7.1636,0.56082,0.375,0.29653,0.13198,0.34029,0.45826,0.001699,0.0049094
1.1771,0.23629,6.5042,2.458,1.1834,1.9269,8.2085,0.73172,0.5,0.13425,0.39783,0.37437,0.56569,0.0013765,0.0067611
1.046,0.55364,2.6197,2.1066,1.1103,0.8365,6.2397,1.8303,0.5,0.10488,0.15745,0.41446,0.75498,0.0093318,0.036262
1.1198,0.29399,5.427,2.1385,1.1353,1.5396,7.2503,0.75033,0.375,0.089777,0.22178,0.35786,0.5831,0.014262,0.0093581
1.0035,0.36513,3.6098,1.8228,1.0213,0.85827,5.7122,1.2667,0.5,0.22451,0.25711,0.46534,0.4899,0.0094256,0.017641
1.1587,0.29578,5.1658,2.1895,1.1636,1.5674,7.3969,1.1798,0.375,0.27077,0.46116,0.5314,0.3,0.0090059,0.012722
0.9376,0.24666,4.6728,2.4978,0.94419,0.95546,4.9071,0.841,0.75,0.17088,0.27317,0.46887,0.46904,0.011476,0.0082319
0.99002,0.19971,10.797,2.2279,1.0034,1.4165,6.5043,0.3524,0.5,0.15955,0.34636,0.41052,0.57446,0.0057168,0.0046274
1.0496,0.22613,5.871,1.9777,1.0549,1.5452,6.3586,0.74473,0.625,0.36115,0.36981,0.46085,0.4899,0.0030021,0.0056341
1.0464,0.2395,6.6676,2.2529,1.0591,1.3802,6.744,0.45257,1,0.47817,0.38159,0.41935,0.66332,0.0053384,0.0053046
1.0014,0.25561,4.8278,1.9083,1.0057,0.91277,5.7634,0.79201,0.125,0.93099,0.15957,0.34323,0.36056,0.0022182,0.0016165
1.0686,0.44345,5.7583,1.5072,1.1378,2.0093,7.9314,0.73581,0.375,0.20136,0.48338,0.55035,0.43589,0.0058348,0.022402
0.95908,0.2908,8.9591,2.3631,0.99257,1.5108,6.125,0.43221,0.25,0.39838,0.26632,0.42949,0.65574,0.01023,0.0087918
1.0407,0.43656,3.2819,2.762,1.0663,1.4209,5.7817,1.354,0.375,0.11453,0.69473,0.74752,0.75498,0.0074789,0.02195
1.0438,0.11141,24.096,2.653,1.0487,2.0514,7.4705,0.17356,0.5,0.21925,0.41597,0.59614,0.72801,0.0046552,0.00088805
1.0319,0.22906,20.463,2.3156,1.0529,1.879,7.3773,0.19656,0.25,0.055247,0.20797,0.39876,0.4899,0.0058215,0.0060326
1.0316,0.21863,7.0028,2.4491,1.041,1.2723,6.8605,0.72775,0.375,0.071398,0.4225,0.53311,0.5,0.0039441,0.0063749
1.0288,0.30082,5.1523,2.4241,1.0505,1.3759,6.3789,0.82718,0.25,0.23274,0.22532,0.33674,0.44721,0.0037832,0.010564
1.1031,0.22938,8.0689,2.3243,1.1176,1.741,8.0911,0.53982,0.625,0.41239,0.36058,0.53647,0.63246,0.003214,0.0047835
1.0845,0.21744,7.9764,2.6435,1.0951,1.6943,7.3251,0.57308,0.625,0.21763,0.38117,0.51948,0.64031,0.0076073,0.0046188
1.2201,0.3606,5.0156,3.0171,1.2327,1.1719,8.8781,1.1851,0.5,0.62476,0.70977,0.73788,0.7,0.01162,0.016526
1.0755,0.29085,5.6524,2.6056,1.094,1.4643,6.8727,0.81625,0.25,0.62875,0.29855,0.40475,0.3,0.0072382,0.0085944
1.1067,0.35174,4.1024,2.4073,1.1259,1.0193,7.3389,1.1734,0.25,0.2232,0.064784,0.32473,0.53852,0.017084,0.015972
1.04,0.3808,3.7818,2.4238,1.0596,0.77998,6.347,1.1406,1,0.50887,0.15878,0.34841,0.72111,0.00522,0.015671
1.1551,0.29568,6.1226,2.1846,1.1766,1.7773,8.4147,0.79701,0.75,0.30811,0.13451,0.35542,0.6,0.0082802,0.0091316
1.0912,0.36869,4.1736,2.809,1.1055,1.1276,6.6792,1.0698,0.375,0.44977,0.19712,0.52108,0.44721,0.01049,0.015539
0.97068,0.23572,6.8645,2.856,0.99119,1.4834,6.2094,0.54672,0.25,0.65635,0.54604,0.60509,0.2,0.0027913,0.006659
1.0706,0.23518,11.753,2.6736,1.09,1.8656,7.6444,0.34124,0.25,0.53613,0.4307,0.53141,0.22361,0.0096365,0.0048
0.98056,0.28871,4.7797,2.4394,0.99849,0.9336,6.0721,0.7896,1,0.29182,0.30615,0.42041,0.53852,0.0090384,0.0094015
1.0012,0.26482,5.4952,2.5602,1.0161,1.3235,5.9563,0.86411,0.75,0.35751,0.27725,0.40171,0.80623,0.0015542,0.0079542
0.96203,0.28818,5.1361,2.8463,0.97913,0.79525,5.9979,0.71691,0.5,0.30407,0.37691,0.41096,0.64031,0.0070388,0.0084922
1.2215,0.54202,3.1937,3.2014,1.2341,0.85408,7.4775,1.7453,1,0.098562,0.54063,0.65653,0.7,0.0040274,0.031014
1.0467,0.28994,5.2512,2.721,1.0565,1.2198,6.2515,0.88077,0.625,0.24189,0.4321,0.51573,0.5,0.0052184,0.010826
1.1546,0.22286,7.8761,2.22,1.1619,1.6779,8.437,0.62435,0.875,0.43985,0.1357,0.34334,0.4,0.0061058,0.0050683
1.1647,0.36792,4.4438,2.854,1.1921,1.5722,8.026,1.2416,0.875,0.3468,0.46374,0.54745,0.5,0.0062317,0.016245
1.0866,0.3428,5.049,2.4857,1.1024,1.1041,6.7852,1.2469,0.75,0.12437,0.33959,0.48177,0.44721,0.0028032,0.011843
1.0791,0.20822,8.5702,2.7074,1.0914,1.8176,7.5816,0.50938,0.5,0.05581,0.1995,0.43066,0.3,0.0042901,0.0034057
1.0855,0.28521,5.6542,2.628,1.1033,1.3643,7.3823,0.76645,0.5,0.13974,0.23542,0.45752,0.73485,0.01078,0.008166
1.0023,0.24236,6.7506,2.1484,1.0097,1.1486,5.8628,0.88179,0.25,0.20282,0.33284,0.45667,0.44721,0.0031334,0.0085213
