x,y,z,class
0.008,-1.044,-0.116,Cycling
-0.096,-0.992,-0.164,Cycling
-0.096,-1.076,0.012,Cycling
0,-1.308,0.116,Cycling
-0.032,-1.108,-0.216,Cycling
0,-0.856,-0.132,Cycling
-0.288,-1.444,0,Cycling
-0.084,-0.656,-0.128,Cycling
-0.056,-0.924,-0.176,Cycling
-0.056,-0.672,-0.108,Cycling
-0.096,-0.788,-0.108,Cycling
0.092,-0.976,0.056,Cycling
0,-0.936,-0.196,Cycling
-0.14,-1.152,-0.112,Cycling
-0.244,-1.276,0.028,Cycling
0.108,-0.836,-0.18,Cycling
-0.132,-0.904,-0.176,Cycling
-0.052,-0.924,-0.056,Cycling
0.068,-1.268,-0.036,Cycling
-0.136,-0.832,-0.18,Cycling
-0.12,-0.808,-0.024,Cycling
0.3,-1.072,0.112,Cycling
-0.044,-1.464,0.028,Cycling
-0.116,-1.296,-0.02,Cycling
-0.096,-1.032,0.08,Cycling
-0.092,-0.968,0.152,Cycling
-0.116,-1.452,-0.056,Cycling
-0.12,-1.392,0.096,Cycling
-0.424,-1.504,0.252,Cycling
-0.128,-1.092,0.028,Cycling
-0.196,-0.952,-0.084,Cycling
0.248,-1.396,-0.024,Cycling
-0.268,-0.904,-0.008,Cycling
-0.056,-0.772,-0.084,Cycling
-0.028,-1.052,-0.096,Cycling
-0.048,-1.188,0,Cycling
-0.036,-0.944,0.02,Cycling
0.088,-1.288,0.02,Cycling
0.168,-1.14,-0.04,Cycling
0.072,-1.06,0.028,Cycling
-0.06,-1.196,0.08,Cycling
0.056,-1.18,-0.052,Cycling
-0.104,-1.208,-0.092,Cycling
-0.04,-0.908,-0.028,Cycling
0.008,-1.148,0.108,Cycling
-0.016,-1.252,0,Cycling
-0.124,-0.756,-0.136,Cycling
0.004,-0.952,-0.104,Cycling
0.056,-0.76,0.016,Cycling
0.224,-1,-0.04,Cycling
-0.14,-1.092,-0.216,Cycling
-0.044,-0.988,-0.156,Cycling
0.024,-0.796,-0.04,Cycling
0.004,-0.92,-0.264,Cycling
-0.06,-0.652,-0.132,Cycling
0.024,-0.92,-0.048,Cycling
-0.228,-1.436,0.156,Cycling
-0.048,-1.2,-0.004,Cycling
-0.064,-0.98,-0.112,Cycling
-0.04,-1.06,-0.164,Cycling
0.096,-0.688,-0.028,Cycling
-0.072,-1.004,-0.072,Cycling
-0.208,-1.012,-0.016,Cycling
-0.132,-0.92,-0.056,Cycling
0.012,-1.172,0.08,Cycling
-0.16,-0.872,0.076,Cycling
-0.024,-1.308,0.252,Cycling
0.216,-1.22,0.208,Cycling
-0.312,-1.156,0.116,Cycling
-0.284,-0.932,-0.112,Cycling
0.248,-1.036,0.14,Cycling
-0.04,-1.124,0.02,Cycling
-0.244,-0.788,-0.264,Cycling
0.14,-0.968,-0.168,Cycling
-0.108,-1.036,0.024,Cycling
-0.024,-0.912,0.024,Cycling
-0.032,-1.136,-0.124,Cycling
-0.076,-1.132,0.004,Cycling
-0.052,-1.172,0.008,Cycling
-0.056,-1.096,0.036,Cycling
0,-0.96,-0.088,Cycling
0.04,-1.012,-0.084,Cycling
-0.064,-1.016,0.044,Cycling
-0.164,-1.124,-0.056,Cycling
0.14,-1.124,-0.152,Cycling
-0.156,-1.012,0,Cycling
-0.32,-1.576,0.068,Cycling
0.024,-1.044,-0.024,Cycling
0.124,-1.824,-0.048,Cycling
-0.092,-0.936,0.108,Cycling
0.056,-1.132,0.112,Cycling
-0.008,-1.24,-0.04,Cycling
0.06,-0.82,-0.1,Cycling
-0.044,-1.008,-0.06,Cycling
-0.2,-1.324,-0.028,Cycling
-0.028,-0.844,-0.036,Cycling
-0.144,-1.216,0.104,Cycling
-0.176,-1.06,-0.116,Cycling
-0.096,-1.244,-0.156,Cycling
-0.052,-0.768,-0.128,Cycling
0.052,-1.168,0.012,Cycling
-0.26,-1.212,0.108,Cycling
-0.004,-1.02,-0.016,Cycling
0.004,-0.792,-0.072,Cycling
0.28,-0.696,-0.232,Cycling
-0.032,-1.296,0.076,Cycling
-0.036,-1.092,0.028,Cycling
0,-1.112,0.068,Cycling
-0.048,-1.08,0.088,Cycling
-0.04,-0.952,0.024,Cycling
0.04,-0.744,-0.052,Cycling
0.072,-1.108,-0.08,Cycling
