Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
0.94576,0.20572,13.019,1.5553,0.96201,1.5009,5.876,0.2124,0.875,0.36132,0.32155,0.49295,0.5,0.0046882,0.0050121
0.95801,0.2085,11.106,1.6814,0.96996,1.2666,5.8009,0.24141,1,0.13579,0.30561,0.40864,0.5,0.0050347,0.0041705
0.96685,0.25512,7.2522,1.4726,0.98249,1.2008,5.5457,0.59909,0.625,0.40461,0.36229,0.39909,0.53852,0.0048551,0.0049671
0.98062,0.23987,7.9644,1.4712,0.99454,1.3192,6.0161,0.47238,0.75,0.36305,0.34816,0.53608,0.6,0.0043077,0.0063353
0.86994,0.26825,6.1574,1.5846,0.88397,0.77958,4.4585,0.47908,0.125,0.39981,0.2695,0.38842,0.4,0.0081463,0.007673
0.99707,0.18665,8.9826,1.4728,1.0071,1.4562,6.4368,0.47275,0.75,0.41897,0.2673,0.39321,0.5,0.0067192,0.0036179
0.97979,0.19856,11.428,1.541,0.99357,1.5373,6.2957,0.38743,0.875,0.24686,0.57911,0.61729,0.3,0.0059586,0.0049831
1.0342,0.24049,8.048,1.4485,1.047,1.5267,6.6416,0.64791,0.5,0.41986,0.38622,0.52205,0.4,0.0067953,0.00599
0.95489,0.23371,9.7495,1.679,0.97192,1.3724,5.7986,0.30486,0.875,0.15313,0.27305,0.3562,0.6,0.0087338,0.0060629
0.99132,0.20207,8.5702,1.4657,0.9988,1.2926,6.1152,0.42876,0.625,0.20876,0.25082,0.38357,0.6,0.0033713,0.0037443
1.0128,0.20706,13.389,1.4366,1.0283,1.6501,6.9061,0.25198,0.625,0.20837,0.36785,0.43522,0.63246,0.0056975,0.0057467
1.0693,0.17841,15.152,1.5465,1.0764,1.7549,7.1632,0.2072,0.25,0.68836,0.07844,0.38344,0.2,0.0039642,0.0029926
1.0716,0.26517,7.8563,1.5112,1.0896,1.534,7.2389,0.51921,0.375,0.053268,0.25788,0.5061,0.36056,0.0051136,0.0072396
1.0253,0.18519,10.071,1.6546,1.033,1.5125,6.6054,0.3732,0.75,0.10896,0.3651,0.54407,0.5,0.0073315,0.0032929
0.99235,0.18784,9.3495,1.5396,0.99981,1.2848,6.1669,0.41243,0.25,0.049507,0.094551,0.31078,0.6,0.0035096,0.0031104
0.94044,0.16841,12.209,1.5841,0.94927,1.3022,5.7955,0.24713,0.125,0.61049,0.22404,0.51776,0.2,0.0015398,0.0025862
0.94196,0.19633,10.49,1.6646,0.95315,1.1665,5.7956,0.27611,0.125,0.56165,0.29552,0.4045,0.3,0.0017502,0.004383
0.89375,0.19128,8.7387,1.5382,0.90146,1.0036,4.9701,0.33088,0.125,0.50265,0.41496,0.4489,0.3,0.0043095,0.00298
0.90893,0.20044,7.6811,1.6404,0.91987,1.0955,5.263,0.44684,1,0.2016,0.51242,0.48748,0.6,0.0057433,0.0041043
0.98362,0.21904,8.413,1.7143,1.0023,1.6143,6.5555,0.3838,0.875,0.31656,0.72418,0.72595,0.3,0.0077359,0.0047195
1.0285,0.24233,8.9636,1.5983,1.0429,1.6479,6.5405,0.41737,0.5,0.28339,0.52413,0.52672,0.5,0.0029109,0.0063796
0.9247,0.19181,9.6995,1.711,0.93656,1.376,5.3944,0.31897,0.25,0.13484,0.44644,0.44218,0.2,0.0029538,0.0042161
0.96698,0.21747,8.7516,1.747,0.97741,1.2168,5.6848,0.37027,0.625,0.11344,0.36427,0.45664,0.4,0.0063081,0.0050306
0.96107,0.222,10.933,1.412,0.97507,1.298,5.9322,0.31185,0.75,0.20732,0.3505,0.45057,0.5,0.0046547,0.0062699
1.0015,0.16348,16.124,1.4862,1.0107,1.7921,6.5356,0.22165,1,0.26066,0.22169,0.48229,0.5,0.0048299,0.0034671
