x,y,z,class
-0.116,-1.044,0.052,Standing
-0.108,-1.052,0.032,Standing
-0.112,-1.048,0.048,Standing
-0.116,-1.056,0.044,Standing
-0.116,-1.052,0.048,Standing
-0.112,-1.044,0.028,Standing
-0.104,-1.052,0.024,Standing
-0.108,-1.04,0.024,Standing
-0.112,-1.052,0.028,Standing
-0.096,-1.052,0.04,Standing
-0.104,-1.056,0.032,Standing
-0.116,-1.056,0.04,Standing
-0.112,-1.052,0.024,Standing
-0.112,-1.052,0.04,Standing
-0.112,-1.052,0.024,Standing
-0.112,-1.048,0.028,Standing
-0.104,-1.04,0.036,Standing
-0.1,-1.056,0.032,Standing
-0.088,-1.052,0.02,Standing
-0.136,-1.052,0.02,Standing
-0.112,-1.056,0.02,Standing
-0.108,-1.06,0.028,Standing
-0.116,-1.048,0.032,Standing
-0.116,-1.056,0.044,Standing
-0.12,-1.044,0.008,Standing
-0.1,-1.052,0.016,Standing
-0.108,-1.096,0.004,Standing
-0.096,-1.048,0.016,Standing
-0.096,-1.04,0.008,Standing
-0.076,-1.052,0.028,Standing
-0.128,-1.028,0.104,Standing
-0.064,-1.068,-0.004,Standing
-0.076,-1.076,0.02,Standing
-0.064,-1.044,0.004,Standing
-0.088,-1.036,-0.004,Standing
-0.052,-1.064,0.016,Standing
-0.088,-1.052,0.036,Standing
-0.088,-1.06,0.036,Standing
-0.08,-1.056,0.04,Standing
-0.092,-1.06,0.036,Standing
-0.076,-1.056,0.036,Standing
-0.08,-1.06,0.036,Standing
-0.088,-1.052,0.032,Standing
-0.096,-1.052,0.024,Standing
-0.108,-1.056,0.036,Standing
-0.12,-1.048,0.024,Standing
-0.112,-1.056,0.02,Standing
-0.104,-1.048,0.02,Standing
-0.108,-1.056,0.04,Standing
-0.1,-1.052,0.032,Standing
-0.104,-1.06,0.016,Standing
-0.104,-1.048,0.028,Standing
-0.08,-1.036,0.008,Standing
-0.076,-1.056,0.032,Standing
-0.076,-1.068,0.02,Standing
-0.072,-1.064,0.024,Standing
-0.072,-1.064,0.02,Standing
-0.076,-1.056,0.02,Standing
-0.08,-1.072,0.012,Standing
-0.048,-1.06,0.024,Standing
-0.116,-1.04,0.024,Standing
-0.108,-1.048,0.036,Standing
-0.104,-1.056,0.012,Standing
-0.108,-1.048,0.02,Standing
-0.108,-1.048,0.032,Standing
-0.104,-1.06,0.02,Standing
-0.1,-1.052,0.016,Standing
-0.144,-1.048,0.044,Standing
-0.104,-1.052,0.008,Standing
-0.092,-1.048,0.024,Standing
-0.104,-1.06,0.02,Standing
-0.1,-1.052,0.024,Standing
-0.1,-1.044,0.02,Standing
-0.112,-1.052,0.016,Standing
-0.096,-1.056,0.02,Standing
-0.096,-1.052,0.012,Standing
-0.104,-1.048,0.016,Standing
-0.104,-1.044,0.032,Standing
-0.116,-1.06,0.024,Standing
-0.108,-1.068,0.028,Standing
-0.084,-1.036,0.016,Standing
-0.1,-1.036,0.008,Standing
-0.084,-1.068,0.024,Standing
-0.128,-1.032,0.024,Standing
-0.072,-1.06,0.024,Standing
-0.088,-1.06,0.02,Standing
-0.068,-1.052,0.032,Standing
-0.076,-1.056,0.008,Standing
-0.104,-1.056,0.028,Standing
-0.12,-1.048,0.02,Standing
-0.128,-1.056,0.016,Standing
-0.128,-1.056,0.028,Standing
-0.112,-1.052,0.032,Standing
-0.12,-1.044,0.028,Standing
-0.112,-1.052,0.032,Standing
-0.1,-1.044,0.02,Standing
-0.108,-1.048,0.024,Standing
-0.104,-1.052,0.02,Standing
-0.1,-1.044,0.028,Standing
-0.1,-1.064,0.016,Standing
-0.088,-1.048,0.02,Standing
-0.1,-1.06,0.012,Standing
-0.108,-1.052,0.012,Standing
-0.124,-1.052,0.016,Standing
-0.128,-1.044,0.004,Standing
-0.124,-1.056,0.012,Standing
-0.124,-1.052,0.016,Standing
-0.124,-1.052,0.012,Standing
-0.116,-1.052,0.032,Standing
-0.108,-1.056,0.016,Standing
-0.108,-1.056,0.032,Standing
-0.14,-1.04,0.024,Standing
-0.128,-1.108,0.032,Standing
-0.084,-1.06,0.008,Standing
-0.032,-1.068,-0.004,Standing
-0.1,-1.112,0.044,Standing
-0.1,-1.044,0.004,Standing
-0.096,-1.06,0.008,Standing
-0.08,-1.06,0,Standing
-0.116,-1.032,0.016,Standing
-0.144,-1.056,0.02,Standing
-0.112,-1.048,0.028,Standing
-0.124,-1.064,0.028,Standing
0.048,-1.052,0.1,Standing
0.036,-1.044,0.104,Standing
0.04,-1.044,0.104,Standing
0.044,-1.044,0.108,Standing
0.04,-1.048,0.12,Standing
0.048,-1.04,0.088,Standing
0.048,-1.052,0.092,Standing
