1.0722,0.0098793,274.19,1.6536,1.0722,2.2781,8.0192,0.015658,0.75,0.59072,0.21716,0.43587,0.5,0.00020669,9.1974e-06
1.0584,0.25466,9.3476,2.6142,1.082,1.9082,7.5501,0.40277,1,0.68952,0.10579,0.40605,0.7,0.0056228,0.004382
1.0563,0.030571,131.26,1.6206,1.0567,2.1827,7.7695,0.034177,0.25,0.5473,0.11546,0.36783,0.2,0.00026999,2.8145e-05
1.0535,0.013393,126.25,1.7594,1.0535,2.1781,7.7125,0.036021,0.25,0.32656,0.10094,0.34561,0.4,0.00062355,1.7377e-05
1.0544,0.014292,207.39,1.813,1.0545,2.1988,7.7493,0.020095,0.75,0.33055,0.089064,0.33698,0.6,0.00030575,1.6964e-05
1.0543,0.010268,195.1,1.7761,1.0543,2.2028,7.7426,0.02111,0.375,0.23514,0.24794,0.37311,0.5,0.00015824,1.0013e-05
1.0516,0.01449,218.57,1.84,1.0517,2.1813,7.715,0.018755,0.5,0.4379,0.19915,0.40787,0.6,0.00030178,1.1555e-05
1.054,0.02066,164.44,2.026,1.0542,2.1925,7.7418,0.026422,0.75,0.60446,0.084395,0.41599,0.5,0.00040507,2.5222e-05
1.0535,0.014242,209.15,1.8978,1.0536,2.2007,7.7378,0.0182,1,0.36988,0.27815,0.44991,0.7,0.00041545,2.3826e-05
1.0537,0.015348,164.2,1.8319,1.0538,2.1844,7.7444,0.025186,0.625,0.35115,0.29317,0.35229,0.5,0.00026523,1.4749e-05
1.0518,0.030568,67.535,1.7791,1.0521,2.1294,7.6352,0.060317,0.25,0.36981,0.32393,0.46787,0.6,0.00096487,0.00011026
1.0541,0.010311,271.32,1.7557,1.0542,2.2015,7.7535,0.016197,0.5,0.068085,0.35486,0.48747,0.4,0.00027235,1.2779e-05
1.0567,0.025823,238.12,1.7019,1.057,2.205,7.7925,0.01688,0.75,0.3429,0.43516,0.511,0.7,0.0011094,6.379e-05
1.06,0.038158,144.13,1.818,1.0606,2.1902,7.8098,0.029726,0.375,0.55369,0.32934,0.44766,0.4,0.00069401,5.2489e-05
1.0574,0.012486,149.25,1.8622,1.0574,2.2088,7.7784,0.030502,0.625,0.05249,0.57089,0.6931,0.6,0.00048002,1.5273e-05
1.0573,0.013927,220.03,1.9041,1.0574,2.2145,7.7894,0.016392,1,0.4871,0.28649,0.37283,0.6,0.00041242,2.1014e-05
1.0553,0.011163,332.68,1.771,1.0554,2.2115,7.7741,0.013551,0.75,0.1065,0.12939,0.30413,0.6,0.00022074,1.0104e-05
1.0559,0.011821,248.05,1.7828,1.0559,2.208,7.7748,0.016826,0.25,0.45619,0.2042,0.30871,0.4,0.00030355,1.5037e-05
1.0574,0.012372,200.34,1.9242,1.0575,2.1971,7.795,0.020928,0.25,0.18346,0.46895,0.45097,0.4,0.00038293,1.666e-05
1.0577,0.015167,192.1,1.8819,1.0578,2.2053,7.7992,0.022011,0.625,0.19231,0.24706,0.54149,0.3,0.0002344,2.6737e-05
1.0608,0.042193,54.348,2.9599,1.0614,2.1749,7.7478,0.077772,0.375,0.12912,0.62994,0.65298,0.44721,0.0010083,0.00019211
1.0573,0.021889,124.38,1.7569,1.0575,2.1751,7.783,0.035267,1,0.3841,0.59723,0.51402,0.44721,0.00025849,3.4226e-05
1.0566,0.015782,156.15,1.9636,1.0567,2.1893,7.7748,0.029029,0.375,0.16605,0.41035,0.5807,0.5,0.00031671,2.3237e-05
1.0619,0.02381,111.93,1.9039,1.0621,2.2069,7.8404,0.039825,0.5,0.35788,0.19835,0.42906,0.4,0.00049512,5.2986e-05
1.0568,0.017794,199.77,2.2208,1.0569,2.2077,7.7809,0.020501,0.75,0.19709,0.75247,0.79284,0.6,0.00012985,3.641e-05
1.057,0.017374,92.232,2.006,1.057,2.164,7.7354,0.042245,0.5,0.12866,0.10451,0.35426,0.4,0.00052575,3.2322e-05
1.058,0.026853,128.87,1.7662,1.0583,2.1943,7.8048,0.033926,0.625,0.47993,0.6015,0.6166,0.6,0.0012799,7.9521e-05
1.0561,0.012941,154.76,1.9451,1.0562,2.2011,7.7596,0.023662,0.875,0.4227,0.24787,0.4374,0.7,7.7757e-05,1.0731e-05
