Mean,STD ,CoV,CF,Average,SS25,SS75,sum5Hz,maxFreq,LOA,Skew,Kurt,ZCR,cwtmean,cwtvar
1.0217,0.81208,2.4708,2.6032,1.1672,0.23056,6.6514,2.4464,0.75,0.37659,0.16666,0.35013,0.80623,0.015011,0.095588
1.0917,0.90644,1.5878,3.2937,1.1852,0.084048,6.7324,3.1701,0.5,0.24721,0.60361,0.66306,0.5831,0.030695,0.10908
0.97395,1.0298,1.8287,2.7298,1.2217,0.48474,6.6563,3.1175,0.625,0.56671,0.33809,0.34701,0.67082,0.0083779,0.15227
1.0467,1.0327,1.7398,2.3745,1.3412,0.96589,8.3315,3.2719,0.625,0.40532,0.67369,0.63112,0.60828,0.023266,0.17339
1.0954,1.0586,1.4224,2.8568,1.3161,0.22898,9.1729,3.1998,0.625,0.27819,0.17741,0.33963,0.74833,0.0093232,0.13744
0.8832,1.1776,1.5868,3.442,1.2151,0.21386,6.6229,3.7685,0.625,0.33256,0.56385,0.56778,0.7,0.0027209,0.21631
1.0063,1.0886,1.9232,3.1685,1.3315,0.86784,8.4727,3.4524,0.75,0.42938,0.32707,0.53036,0.72801,0.032894,0.19431
1.2593,1.4646,1.4749,2.8644,1.6986,1.0108,13.02,3.9787,0.75,0.41541,0.37997,0.34403,0.92736,0.022819,0.29716
1.1287,1.1784,2.1098,3.1179,1.4131,1.1952,6.9055,3.4145,0.625,0.5463,0.45574,0.51679,0.63246,0.01239,0.20701
1.0497,0.93748,1.6322,2.762,1.2149,0.4533,6.0756,2.8454,0.625,0.44405,0.19313,0.3301,0.72801,0.013513,0.14665
0.95948,1.1788,1.2811,2.6586,1.2963,0.30424,8.7344,3.5961,0.625,0.35449,0.23957,0.33272,0.7,0.022095,0.21075
0.72949,0.89774,1.3826,2.642,0.94621,0.41397,2.8432,3.0751,0.75,0.38284,0.26824,0.39915,0.87178,0.016162,0.12222
1.072,1.0398,1.4116,2.7435,1.2737,0.13952,7.6073,3.2219,0.75,0.46695,0.62543,0.6808,0.80623,0.013703,0.11672
0.71317,0.96486,1.4072,2.0237,0.99535,0.13342,3.6598,3.1975,0.75,0.54717,0.14102,0.35506,0.80623,0.021128,0.15545
1.3034,1.1315,1.6217,3.2069,1.4271,0.16173,11.263,3.2647,0.625,0.44924,0.52443,0.44727,0.74833,0.019552,0.16038
0.92668,0.8896,1.5602,2.6996,1.0893,0.31043,5.1857,2.8413,0.75,0.34349,0.35071,0.41639,0.87178,0.0053045,0.11188
1.0448,1.2087,1.3267,2.7585,1.4083,0.62898,9.8694,3.6467,0.75,0.51573,0.19593,0.33722,0.88318,0.044832,0.20005
1.0423,1.1693,1.4228,2.5021,1.3891,0.6912,9.2836,4.1169,0.625,0.3558,0.12976,0.30239,0.78102,0.01179,0.2161
0.97429,0.92236,1.7535,2.3477,1.1695,0.27947,5.665,3.3548,0.625,0.23445,0.09325,0.28601,0.87178,0.0077463,0.12409
0.91347,0.9534,1.1898,2.7513,1.1533,0.29496,7.1975,3.3102,0.5,0.4364,0.18532,0.31453,0.92736,0.024826,0.12091
0.83149,0.99811,1.1116,2.1365,0.97364,0.10728,3.1435,2.8645,1,0.36989,0.46136,0.43091,0.9798,0.020942,0.095717
1.0768,1.1002,1.5668,3.1282,1.3045,0.27621,7.7665,2.9389,0.875,0.38351,0.74493,0.77928,0.9434,0.026842,0.13259
0.94619,1.2266,1.023,2.6937,1.2366,0.14686,8.2136,2.4227,1,0.37062,0.27095,0.32431,1.3675,0.045413,0.13793
0.90723,1.0369,1.165,3.2133,1.0697,0.098528,3.4681,2.1242,1,0.47006,0.2814,0.411,1.241,0.024371,0.094531
1.1787,0.9147,1.7853,1.9976,1.2778,0.39014,7.3517,2.8246,1,0.57934,0.079705,0.32111,0.99499,0.045614,0.099047
1.305,1.3707,1.5601,2.4205,1.6102,0.31442,12.736,2.2786,1,0.37985,0.15232,0.35505,1.1045,0.029093,0.17067
0.93157,1.2953,1.0963,2.3151,1.2547,0.10858,7.2512,2.3137,1,0.35558,0.19608,0.29862,1.3675,0.050941,0.15445
0.90191,1.1929,1.0863,2.2242,1.226,0.27262,6.9986,2.3139,1,0.34984,0.040141,0.39459,1.2689,0.0398,0.1341
0.82388,1.16,1.0742,3.3324,1.1269,0.20174,4.3998,2.8899,0.875,0.38634,0.65491,0.672,1.044,0.02808,0.13811
1.2522,1.1377,1.4437,1.7487,1.4201,0.26291,10.935,2.0395,1,0.36173,0.2145,0.2912,1.1446,0.046091,0.12359
0.9752,1.3095,1.131,1.981,1.362,0.3537,9.449,1.9441,1,0.30839,0.053794,0.25822,1.3675,0.044572,0.14517
1.2335,1.119,1.4898,2.1109,1.4276,0.26914,11.753,2.3979,1,0.38471,0.274,0.31604,1.063,0.040798,0.12736
0.99384,1.1814,1.6298,2.2405,1.2294,0.27046,3.9189,2.3285,0.25,0.26235,0.60687,0.50037,0.74833,0.0056824,0.13987
0.98088,1.0711,1.175,2.49,1.2557,0.38176,7.3374,3.2928,0.875,0.46263,0.37947,0.39745,1.077,0.0077699,0.15729
1.2473,1.1175,1.6027,1.9868,1.4025,0.174,9.015,2.2837,1,0.37296,0.28107,0.39877,0.94868,0.018913,0.11863
1.073,1.076,1.4036,2.0394,1.2892,0.25784,6.8363,2.1157,1,0.48179,0.5298,0.56262,1.005,0.01921,0.095646
0.91092,1.0009,1.1932,2.8363,1.1269,0.27738,4.5941,2.2696,1,0.39345,0.6173,0.64276,1.1045,0.014754,0.09178
0.89232,1.116,0.98449,2.8185,1.1801,0.27955,5.7022,2.0424,1,0.32634,0.30559,0.36011,1.1916,0.035103,0.11589
1.2239,1.4633,1.3695,2.5934,1.5582,0.28293,11.133,2.0098,1,0.30377,0.47091,0.48838,1.1045,0.038126,0.18643
0.7053,0.86867,1.1079,2.6842,0.902,0.11584,4.0734,1.6496,1,0.63825,0.31904,0.43087,1.063,0.026719,0.06852
0.77732,1.1122,1.0024,2.1209,1.1099,0.30123,4.7909,2.5944,1,0.44036,0.55461,0.58604,1.077,0.0099429,0.12331
1.0793,1.092,1.377,1.527,1.2686,0.18163,6.6108,2.1281,1,0.42966,0.41719,0.49552,1.1225,0.028679,0.1045
1.1376,1.0599,1.5662,2.7483,1.2931,0.40786,6.883,2.087,1,0.47061,0.80543,0.77206,0.94868,0.018971,0.10229
1.036,1.0948,1.4746,2.7095,1.2328,0.12626,6.3512,2.4666,0.875,0.49415,0.71396,0.72582,0.8775,0.018397,0.12243
1.0925,0.93602,1.4779,1.7791,1.2494,0.36978,6.9363,3.0404,0.875,0.51388,0.32544,0.47531,1.077,0.0076755,0.1072
1.1043,0.91117,1.6602,2.1189,1.2586,0.37323,6.4458,3.0205,0.875,0.34845,0.064668,0.33042,0.98995,0.01674,0.10168
0.99913,0.98413,1.4517,1.2874,1.1613,0.048048,5.9685,2.8029,0.75,0.35087,0.49801,0.47432,1.0488,0.021572,0.10189
1.1853,1.0907,1.615,1.7782,1.4324,0.54424,10.147,2.9981,0.875,0.38477,0.24292,0.33874,0.9434,0.026207,0.12733
0.95086,0.89315,1.6614,2.5823,1.0904,0.067968,4.9089,2.3056,0.75,0.39002,0.40807,0.42771,1.0677,0.016046,0.08299
1.1669,0.93595,1.8288,1.8234,1.2995,0.46091,6.8151,2.8056,0.875,0.35278,0.15888,0.37699,0.88318,0.017025,0.065264
0.99472,1.1114,1.46,2.3076,1.3195,0.68368,8.3893,2.6845,0.75,0.24952,0.44445,0.47747,0.7874,0.019953,0.13423
1.0769,1.2179,1.4561,2.2054,1.363,0.2096,7.6477,2.5642,0.875,0.45574,0.27258,0.56448,0.92736,0.036698,0.1413
1.065,1.4834,1.2314,1.6922,1.5446,0.62765,8.5273,3.2366,0.875,0.36334,0.04654,0.36163,0.83666,0.028019,0.23358
1.0655,1.2476,1.3104,1.4911,1.4239,0.41262,9.3311,3.3188,0.875,0.41127,0.11227,0.29389,0.9798,0.006551,0.16895
